구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2008년05월24일,2029.04,1858.09,1852.46,1430.71
2008년05월25일,2030.27,1859.91,1855.06,1434.71
2008년05월26일,2032.99,1862.44,1858.86,1435.46
2008년05월27일,2033.18,1865.19,1861.59,1440.57
2008년05월28일,2045.71,1870.48,1868.60,1449.26
2008년05월29일,2070.94,1888.40,1892.24,1475.89
2008년05월30일,2077.97,1896.98,1903.62,1492.66
2008년05월31일,2079.60,1900.78,1908.62,1501.41
2008년06월01일,2080.20,1903.36,1912.19,1505.64
2008년06월02일,2081.60,1905.40,1914.49,1514.16
2008년06월03일,2082.89,1907.45,1916.94,1519.18
2008년06월04일,2084.20,1908.22,1917.92,1521.00
2008년06월05일,2082.85,1907.84,1914.49,1521.18
2008년06월06일,2083.83,1907.76,1913.47,1520.32
2008년06월07일,2082.35,1907.97,1913.36,1519.42
2008년06월08일,2083.03,1907.99,1913.57,1520.28
2008년06월09일,2083.96,1907.33,1912.17,1518.20
2008년06월10일,2083.40,1907.56,1912.24,1527.24
2008년06월11일,2083.26,1907.23,1911.32,1520.29
2008년06월12일,2081.67,1905.84,1908.04,1512.62
2008년06월13일,2082.68,1905.60,1907.20,1513.65
2008년06월14일,2080.28,1905.11,1906.58,1512.25
2008년06월15일,2080.88,1904.76,1906.23,1513.02
2008년06월16일,2079.87,1904.21,1905.27,1510.79
2008년06월17일,2080.37,1904.58,1905.21,1512.52
2008년06월18일,2085.57,1905.30,1905.52,1513.07
2008년06월19일,2093.17,1906.99,1906.96,1514.08
2008년06월20일,2092.78,1907.95,1907.58,1516.76
2008년06월21일,2094.31,1907.91,1907.46,1516.52
2008년06월22일,2093.31,1907.87,1907.34,1516.38
2008년06월23일,2092.02,1906.78,1906.00,1514.44
2008년06월24일,2093.41,1907.11,1906.07,1514.78
2008년06월25일,2093.07,1906.75,1905.52,1515.25
2008년06월26일,2095.15,1907.17,1905.83,1515.41
2008년06월27일,2094.27,1907.09,1909.36,1516.22
2008년06월28일,2096.03,1907.13,1905.64,1517.31
2008년06월29일,2095.90,1907.04,1905.63,1514.84
2008년06월30일,2093.73,1905.92,1904.41,1514.16
2008년07월01일,2096.00,1906.78,1904.82,1514.46
2008년07월02일,2098.87,1908.18,1906.15,1516.32
2008년07월03일,2109.01,1911.05,1908.98,1518.78
2008년07월04일,2108.50,1912.72,1910.45,1521.07
2008년07월05일,2109.55,1914.13,1911.67,1521.83
2008년07월06일,2110.57,1915.32,1912.65,1522.49
2008년07월07일,2109.95,1915.09,1914.09,1521.88
2008년07월08일,2112.54,1919.74,1916.52,1526.13
2008년07월09일,2120.51,1924.53,1921.00,1531.85
2008년07월10일,2139.37,1935.23,1931.56,1545.34
2008년07월11일,2144.73,1941.25,1937.38,1553.24
2008년07월12일,2144.85,1945.39,1941.77,1559.45
2008년07월13일,2145.88,1947.10,1943.47,1558.06
2008년07월14일,2147.81,1947.74,1943.84,1558.17
2008년07월15일,2148.18,1949.90,1945.81,1561.32
2008년07월16일,2143.87,1950.02,1947.75,1561.04
2008년07월17일,2140.21,1948.04,1943.80,1561.83
2008년07월18일,2137.49,1947.00,1942.85,1563.64
2008년07월19일,2136.74,1946.11,1941.98,1564.03
2008년07월20일,2135.95,1945.74,1941.57,1559.53
2008년07월21일,2139.55,1943.12,1938.79,1558.73
2008년07월22일,2134.24,1941.85,1937.70,1562.16
2008년07월23일,2128.62,1937.76,1933.82,1559.44
2008년07월24일,2101.90,1925.29,1921.33,1548.71
2008년07월25일,2094.84,1916.11,1912.13,1543.77
2008년07월26일,2091.40,1911.88,1907.43,1543.12
2008년07월27일,2091.38,1909.41,1904.92,1540.89
2008년07월28일,2092.31,1905.19,1900.50,1535.83
2008년07월29일,2087.49,1902.25,1898.01,1535.80
2008년07월30일,2080.24,1896.66,1892.60,1532.31
2008년07월31일,2059.00,1883.48,1879.16,1519.52
2008년08월01일,2048.06,1871.95,1867.08,1510.28
2008년08월02일,2043.69,1867.32,1862.44,1507.88
2008년08월03일,2044.07,1865.13,1860.14,1506.12
2008년08월04일,2040.26,1860.30,1854.98,1500.60
2008년08월05일,2041.32,1856.72,1851.61,1500.60
2008년08월06일,2035.32,1850.85,1845.62,1495.44
2008년08월07일,2021.18,1838.99,1832.42,1482.08
2008년08월08일,2013.22,1829.67,1822.06,1478.12
2008년08월09일,2009.57,1823.12,1815.00,1472.82
2008년08월10일,2010.04,1820.32,1811.93,1472.89
2008년08월11일,2001.50,1813.37,1806.28,1465.57
2008년08월12일,2000.18,1808.12,1799.37,1465.90
2008년08월13일,1993.32,1800.32,1789.36,1458.00
2008년08월14일,1977.80,1786.99,1770.60,1442.88
2008년08월15일,1969.80,1779.24,1759.76,1436.43
2008년08월16일,1967.77,1774.34,1753.28,1427.84
2008년08월17일,1966.40,1771.53,1749.72,1424.82
2008년08월18일,1964.66,1765.24,1742.59,1421.85
2008년08월19일,1962.32,1760.84,1736.92,1419.75
2008년08월20일,1959.65,1755.77,1731.05,1414.98
2008년08월21일,1951.96,1745.69,1716.91,1409.20
2008년08월22일,1947.05,1738.64,1706.98,1397.30
2008년08월23일,1943.63,1734.35,1701.07,1388.98
2008년08월24일,1942.91,1732.42,1698.31,1385.83
2008년08월25일,1941.44,1727.71,1692.73,1379.36
2008년08월26일,1942.01,1724.91,1688.32,1376.00
2008년08월27일,1931.40,1722.46,1684.80,1376.53
2008년08월28일,1935.20,1719.66,1680.26,1369.35
2008년08월29일,1933.65,1718.02,1678.08,1370.56
2008년08월30일,1931.59,1716.57,1676.30,1367.87
2008년08월31일,1930.25,1716.23,1675.48,1365.01
2008년09월01일,1931.27,1713.80,1672.64,1365.91
2008년09월02일,1932.82,1713.62,1671.47,1358.68
2008년09월03일,1933.00,1713.81,1670.72,1360.43
2008년09월04일,1943.10,1717.18,1673.65,1360.72
2008년09월05일,1943.25,1718.42,1672.25,1359.65
2008년09월06일,1941.27,1719.45,1672.54,1361.21
2008년09월07일,1943.40,1720.11,1672.56,1358.54
2008년09월08일,1944.15,1721.39,1671.38,1357.88
2008년09월09일,1942.15,1721.20,1672.24,1359.60
2008년09월10일,1942.24,1721.90,1672.23,1359.90
2008년09월11일,1941.03,1722.11,1671.49,1354.19
2008년09월12일,1938.61,1724.16,1672.32,1355.89
2008년09월13일,1939.65,1725.01,1672.44,1352.69
2008년09월14일,1938.60,1724.80,1672.28,1353.23
2008년09월15일,1939.77,1725.00,1672.03,1351.88
2008년09월16일,1941.20,1723.79,1670.34,1351.57
2008년09월17일,1938.46,1723.14,1669.32,1353.60
2008년09월18일,1919.99,1715.90,1658.06,1341.33
2008년09월19일,1914.61,1711.22,1652.13,1332.61
2008년09월20일,1910.15,1709.24,1647.44,1332.56
2008년09월21일,1909.59,1708.47,1645.74,1329.36
2008년09월22일,1909.61,1707.62,1642.91,1326.51
2008년09월23일,1907.92,1706.35,1642.09,1325.43
2008년09월24일,1907.90,1705.74,1641.00,1325.36
2008년09월25일,1905.80,1705.45,1642.27,1325.11
2008년09월26일,1904.78,1705.88,1642.83,1324.29
2008년09월27일,1905.33,1705.85,1642.77,1323.75
2008년09월28일,1902.99,1705.72,1642.32,1322.86
2008년09월29일,1905.67,1704.92,1641.19,1321.64
2008년09월30일,1906.70,1705.65,1641.55,1321.44
2008년10월01일,1910.05,1707.53,1642.77,1319.53
2008년10월02일,1926.31,1713.18,1649.86,1325.71
2008년10월03일,1926.16,1715.40,1650.41,1325.88
2008년10월04일,1922.93,1716.21,1650.87,1326.94
2008년10월05일,1924.62,1716.71,1651.16,1326.17
2008년10월06일,1927.38,1716.05,1650.02,1324.24
2008년10월07일,1928.63,1716.71,1650.59,1326.95
2008년10월08일,1924.80,1715.18,1648.28,1322.57
2008년10월09일,1905.76,1710.06,1637.09,1313.92
2008년10월10일,1900.30,1705.72,1631.97,1312.20
2008년10월11일,1898.38,1703.82,1628.78,1307.06
2008년10월12일,1899.11,1703.36,1627.45,1303.13
2008년10월13일,1898.73,1702.06,1625.09,1303.10
2008년10월14일,1896.85,1701.49,1622.46,1302.31
2008년10월15일,1898.53,1701.44,1620.22,1302.11
2008년10월16일,1902.98,1701.55,1615.64,1296.39
2008년10월17일,1902.97,1700.87,1613.21,1296.08
2008년10월18일,1900.62,1699.85,1608.42,1294.56
2008년10월19일,1901.12,1699.27,1606.92,1290.61
2008년10월20일,1901.61,1697.15,1601.91,1287.95
2008년10월21일,1900.59,1696.23,1598.85,1289.14
2008년10월22일,1889.36,1692.24,1592.71,1280.09
2008년10월23일,1854.79,1673.01,1570.30,1265.30
2008년10월24일,1834.63,1655.08,1548.11,1238.92
2008년10월25일,1829.03,1645.46,1533.17,1227.90
2008년10월26일,1830.40,1641.33,1527.75,1222.52
2008년10월27일,1827.91,1633.57,1518.02,1218.67
2008년10월28일,1824.95,1627.81,1511.00,1213.03
2008년10월29일,1819.44,1622.58,1505.27,1209.94
2008년10월30일,1796.12,1613.85,1498.93,1204.66
2008년10월31일,1792.15,1607.24,1492.93,1202.59
2008년11월01일,1788.02,1601.98,1486.44,1194.86
2008년11월02일,1785.03,1599.94,1483.71,1194.26
2008년11월03일,1783.73,1595.59,1478.21,1191.87
2008년11월04일,1783.71,1591.48,1473.68,1189.36
2008년11월05일,1779.19,1587.07,1468.78,1183.66
2008년11월06일,1764.59,1576.82,1460.62,1171.92
2008년11월07일,1753.46,1567.30,1450.98,1163.03
2008년11월08일,1748.29,1561.59,1445.36,1158.31
2008년11월09일,1747.68,1559.42,1443.46,1157.28
2008년11월10일,1746.43,1554.24,1439.84,1155.42
2008년11월11일,1741.98,1548.75,1434.34,1150.21
2008년11월12일,1738.46,1542.10,1429.57,1145.80
2008년11월13일,1720.70,1529.95,1421.46,1139.84
2008년11월14일,1707.25,1514.12,1412.47,1136.14
2008년11월15일,1699.58,1505.54,1406.66,1131.09
2008년11월16일,1699.47,1504.59,1404.48,1126.71
2008년11월17일,1681.85,1493.45,1399.49,1129.14
2008년11월18일,1679.87,1486.25,1395.44,1127.76
2008년11월19일,1671.71,1479.43,1391.58,1123.75
2008년11월20일,1657.96,1467.96,1384.83,1114.98
2008년11월21일,1646.66,1455.72,1377.49,1106.04
2008년11월22일,1642.07,1448.27,1373.35,1100.74
2008년11월23일,1638.85,1444.36,1371.33,1095.43
2008년11월24일,1638.56,1438.23,1367.14,1094.09
2008년11월25일,1634.98,1432.53,1364.38,1093.06
2008년11월26일,1630.47,1426.08,1361.16,1091.29
2008년11월27일,1617.52,1416.02,1356.67,1090.19
2008년11월28일,1600.35,1406.21,1352.80,1086.44
2008년11월29일,1595.07,1400.01,1349.90,1084.08
2008년11월30일,1589.35,1396.87,1348.67,1081.73
2008년12월01일,1586.12,1389.29,1344.27,1070.43
2008년12월02일,1584.58,1383.49,1341.89,1064.19
2008년12월03일,1582.67,1379.65,1340.20,1060.63
2008년12월04일,1585.65,1376.01,1337.44,1052.37
2008년12월05일,1581.31,1372.36,1336.22,1049.86
2008년12월06일,1578.62,1370.19,1335.17,1046.19
2008년12월07일,1578.28,1369.01,1334.54,1041.68
2008년12월08일,1578.10,1366.51,1332.83,1040.85
2008년12월09일,1576.69,1364.31,1331.70,1040.16
2008년12월10일,1570.87,1360.54,1328.91,1033.81
2008년12월11일,1548.02,1347.82,1320.02,1024.02
2008년12월12일,1536.11,1334.42,1311.88,1006.86
2008년12월13일,1527.36,1325.41,1306.09,998.63
2008년12월14일,1526.47,1321.98,1304.14,990.73
2008년12월15일,1522.69,1315.92,1300.57,983.56
2008년12월16일,1522.40,1311.67,1297.91,979.51
2008년12월17일,1520.62,1308.11,1295.38,974.46
2008년12월18일,1520.83,1304.51,1289.05,966.24
2008년12월19일,1504.79,1301.08,1283.77,959.24
2008년12월20일,1500.83,1298.15,1280.75,952.36
2008년12월21일,1501.80,1296.86,1279.40,948.73
2008년12월22일,1498.18,1294.29,1276.63,947.93
2008년12월23일,1498.39,1292.39,1274.95,944.95
2008년12월24일,1496.47,1290.87,1273.36,940.20
2008년12월25일,1499.29,1290.12,1271.64,933.79
2008년12월26일,1497.98,1289.27,1270.23,932.17
2008년12월27일,1497.36,1288.53,1270.00,929.06
2008년12월28일,1495.44,1288.31,1269.49,926.35
2008년12월29일,1496.28,1287.63,1268.69,926.51
2008년12월30일,1495.69,1287.45,1268.45,923.64
